Zone,Waypoint,mean_salinity
Ambient,13,34.589756335000004
Ambient,14,34.59459073625
Ambient,15,34.58821811625
Ambient,16,34.56690279857143
Ambient,17,34.6061273775
Ambient,18,34.6115111425
Ambient,19,34.614203026249996
Ambient,20,34.59766717375
Ambient,21,34.6233135925
Ambient,25,34.64146049125
Ambient,29,34.42351892285714
Ambient,33,34.64056655714286
Ambient,37,34.572940305
Diffuse,5,33.81925523
Diffuse,6,34.096812155
Diffuse,7,34.09719671125
Diffuse,8,34.3028235975
Diffuse,9,34.03660188125
Diffuse,10,34.50433025625
Diffuse,11,34.4923541275
Diffuse,12,34.4603262125
Diffuse,22,34.139657031249996
Diffuse,26,34.207186438571426
Diffuse,30,33.5175000025
Diffuse,31,34.05716164875
Diffuse,32,34.3385950125
Diffuse,34,34.083048541428575
Diffuse,35,34.26068850125
Diffuse,36,34.40337556714286
Diffuse,38,34.21773488142857
Diffuse,39,33.874225117142856
Offshore,44,34.61378184666667
Offshore,45,34.59752067666667
Transition,1,33.618920546666665
Transition,2,33.412506238333336
Transition,3,33.11463592857143
Transition,4,33.993312007499995
Transition,23,33.45419444375
Transition,24,33.68780968857143
Transition,27,33.6339426025
Transition,28,33.96016215428571
Transition,40,34.045979998571426
