"country","total_plastic_kg","year"
"Argentina",2668,2019
"Argentina",1838,2019
"Argentina",257,2019
"Argentina",43,2019
"Argentina",38,2019
"Argentina",29,2019
"Argentina",27,2019
"Argentina",26,2019
"Argentina",20,2019
"Argentina",18,2019
"Argentina",17,2019
"Argentina",15,2019
"Argentina",14,2019
"Argentina",13,2019
"Argentina",11,2019
"Argentina",9,2019
"Argentina",8,2019
"Argentina",7,2019
"Argentina",6,2019
"Argentina",5,2019
"Argentina",4,2019
"Argentina",3,2019
"Argentina",2,2019
"Argentina",1,2019
"Australia",3,2019
"Bangladesh",16,2019
"Benin",4988,2019
"Bhutan",3500,2019
"Brazil",4734,2019
"Brazil",2112,2019
"Brazil",1745,2019
"Brazil",380,2019
"Brazil",42,2019
"Brazil",36,2019
"Brazil",33,2019
"Brazil",30,2019
"Brazil",21,2019
"Brazil",19,2019
"Brazil",14,2019
"Brazil",12,2019
"Brazil",11,2019
"Brazil",9,2019
"Brazil",8,2019
"Brazil",6,2019
"Brazil",5,2019
"Brazil",4,2019
"Brazil",3,2019
"Brazil",2,2019
"Brazil",1,2019
"Bulgaria",8,2019
"Burkina Faso",5818,2019
"Burkina Faso",2996,2019
"Burkina Faso",600,2019
"Burkina Faso",450,2019
"Burkina Faso",331,2019
"Burkina Faso",251,2019
"Burkina Faso",210,2019
"Burkina Faso",200,2019
"Burkina Faso",132,2019
"Burkina Faso",100,2019
"Burkina Faso",90,2019
"Burkina Faso",80,2019
"Burkina Faso",70,2019
"Burkina Faso",57,2019
"Burkina Faso",50,2019
"Burkina Faso",33,2019
"Burkina Faso",32,2019
"Burkina Faso",25,2019
"Burkina Faso",21,2019
"Burkina Faso",15,2019
"Burkina Faso",6,2019
"Burkina Faso",5,2019
"Burkina Faso",4,2019
"Burkina Faso",1,2019
"Cameroon",8595,2019
"Cameroon",891,2019
"Cameroon",621,2019
"Cameroon",470,2019
"Cameroon",453,2019
"Cameroon",365,2019
"Cameroon",342,2019
"Cameroon",255,2019
"Cameroon",225,2019
"Cameroon",208,2019
"Cameroon",161,2019
"Cameroon",151,2019
"Cameroon",136,2019
"Cameroon",132,2019
"Cameroon",130,2019
"Cameroon",126,2019
"Cameroon",119,2019
"Cameroon",113,2019
"Cameroon",110,2019
"Cameroon",105,2019
"Cameroon",101,2019
"Cameroon",98,2019
"Cameroon",97,2019
"Cameroon",94,2019
"Cameroon",91,2019
"Cameroon",86,2019
"Cameroon",84,2019
"Cameroon",82,2019
"Cameroon",74,2019
"Cameroon",73,2019
"Cameroon",72,2019
"Cameroon",71,2019
"Cameroon",69,2019
"Cameroon",67,2019
"Cameroon",60,2019
"Cameroon",58,2019
"Cameroon",57,2019
"Cameroon",56,2019
"Cameroon",55,2019
"Cameroon",52,2019
"Cameroon",47,2019
"Cameroon",42,2019
"Cameroon",41,2019
"Cameroon",38,2019
"Cameroon",37,2019
"Cameroon",34,2019
"Cameroon",33,2019
"Cameroon",32,2019
"Cameroon",27,2019
"Cameroon",26,2019
"Cameroon",25,2019
"Cameroon",24,2019
"Cameroon",23,2019
"Cameroon",22,2019
"Cameroon",21,2019
"Cameroon",20,2019
"Cameroon",19,2019
"Cameroon",18,2019
"Cameroon",17,2019
"Cameroon",16,2019
"Cameroon",15,2019
"Cameroon",14,2019
"Cameroon",13,2019
"Cameroon",12,2019
"Cameroon",11,2019
"Cameroon",10,2019
"Cameroon",9,2019
"Cameroon",8,2019
"Cameroon",7,2019
"Cameroon",6,2019
"Cameroon",5,2019
"Cameroon",4,2019
"Cameroon",3,2019
"Cameroon",2,2019
"Cameroon",1,2019
"Canada",1,2019
"China",3459,2019
"China",392,2019
"China",243,2019
"China",202,2019
"China",181,2019
"China",103,2019
"China",97,2019
"China",96,2019
"China",76,2019
"China",72,2019
"China",69,2019
"China",65,2019
"China",61,2019
"China",60,2019
"China",51,2019
"China",49,2019
"China",43,2019
"China",41,2019
"China",40,2019
"China",38,2019
"China",36,2019
"China",32,2019
"China",29,2019
"China",27,2019
"China",24,2019
"China",23,2019
"China",22,2019
"China",21,2019
"China",20,2019
"China",18,2019
"China",17,2019
"China",15,2019
"China",14,2019
"China",13,2019
"China",12,2019
"China",11,2019
"China",10,2019
"China",9,2019
"China",8,2019
"China",7,2019
"China",6,2019
"China",5,2019
"China",4,2019
"China",3,2019
"China",2,2019
"China",1,2019
"Colombia",856,2019
"Côte d'Ivoire",53,2019
